Year,Passage,Consumption,PercentConsumed
2002,275290,880,0.3
2003,210028,2313,1.1
2004,179193,3307,1.8
2005,78341,2742,3.4
2006,99366,2580,2.5
2007,83252,3403,3.9
2008,143139,4501,3
2009,181174,4360,2.3
2010,257036,5909,2.2
2011,218092,3634,1.6
2012,165681,1959,1.2
2013,117165,2710,2.3
2014,214177,4576,2.1
2015,233794,10622,4.3
2016,148357,9222,5.9
2017,101734,4951,4.6
2018,94350,2813,2.9
2019,61385,1974,3.1
2020,46822,1180,2.5
2021,63713,2079,3.3
2022,144407,4437,3.1
