Year,TotalHoursObserved,ObservedSturgeonCatch,Consumption
2005,1109,1,
2006,3650,265,413
2007,4433,360,664
2008,5131,606,1139
2009,3455,758,1710
2010,3609,1100,2172
2011,3315,1353,3003
2012,3404,1342,2498
2013,3247,314,635
2014,2947,79,146
2015,2995,24,44
2016,1974,30,90
2017,1142,6,24
2018,1410,46,148
2019,836,22,187
2020,331,9,57
2021,132,1,
2022,205,4,40
