Year,StartDate,EndDate
2007,1/1/2007,5/31/2007
2008,1/1/2008,5/31/2008
2009,1/1/2009,5/31/2009
2010,1/1/2010,5/31/2010
2011,1/1/2011,5/31/2011
2012,1/1/2012,5/31/2012
2013,1/1/2013,5/31/2013
2014,1/1/2014,5/31/2014
2015,1/1/2015,5/31/2015
2016,1/1/2016,5/31/2016
2017,1/1/2017,5/31/2017
2018,1/1/2018,5/31/2018
2019,1/1/2019,5/31/2019
2020,4/12/2020,5/20/2020
2021,4/4/2021,5/18/2021
2022,4/3/2022,5/21/2022
