Date,Removal_location,Pinniped_species,Salmonid_unidentified_adult,Salmonid_unidentified_juvenile,Chinook_adult,Chum_adult,Sturgeon,Lamprey,Steelhead,Other
5/10/2023,BON,CSL,3,,,,,2,,
5/11/2023,BON,CSL,,,,,,,,
5/11/2023,BON,CSL,3,,,,,3,,
5/11/2023,BON,CSL,2,,,,,,,
5/16/2023,BON,CSL,2,,,,,,,
5/16/2023,BON,CSL,1,,,,,,,
5/16/2023,BON,CSL,6,,,,,3,,
5/16/2023,BON,CSL,,,,,,7,,2
5/16/2023,BON,CSL,8,,,,,1,,1
5/2/2023,BON,SSL,1,1,,,,,,
5/2/2023,BON,SSL,,,,,,,,1
5/3/2023,BON,SSL,,2,,,,,,1
5/9/2023,BON,SSL,4,,,,,,,
5/10/2023,BON,SSL,4,,,,,,,
5/11/2023,BON,SSL,1,2,,,,1,,2
9/12/2023,BON,SSL,2,,,,,1,,
9/12/2023,BON,SSL,2,,,,,33,,
9/13/2023,BON,SSL,4,,,,,,,
10/11/2023,BON,SSL,,,,,,,,
10/11/2023,BON,SSL,,,,,,11,,2
10/12/2023,BON,SSL,4,,,,,,,1
10/12/2023,BON,SSL,1,,,,,,,2
10/12/2023,BON,SSL,1,,,,,,,1
10/18/2023,BON,SSL,,,,,,,,1
10/24/2023,BON,SSL,3,,,,,,,1
10/26/2023,BON,SSL,2,,,,,,,1
10/31/2023,BON,SSL,8,,,,,,,3
11/1/2023,BON,SSL,10,,,,,,,
11/1/2023,BON,SSL,8,,,,,,,1
11/14/2023,BON,SSL,4,,,,,,,1
11/14/2023,BON,SSL,4,,,,,1,,1
11/30/2023,BON,SSL,1,,,,,,,
11/30/2023,BON,SSL,,,,,,,,
11/30/2023,BON,SSL,1,,,,,,,1
